Source output: calculations\B12\bilayer_3d\d_2.5\mult_5\output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,263.31000000,false,,,
2,325.83000000,false,,,
3,371.52000000,false,,,
4,383.67000000,false,,,
5,401.33000000,false,,,
6,454.72000000,false,,,
7,455.74000000,false,,,
8,459.33000000,false,,,
9,485.01000000,false,,,
10,521.88000000,false,,,
11,536.89000000,false,,,
12,567.43000000,false,,,
13,596.75000000,false,,,
14,612.31000000,false,,,
15,643.42000000,false,,,
16,646.81000000,false,,,
17,660.81000000,false,,,
18,662.13000000,false,,,
19,693.82000000,false,,,
20,713.65000000,false,,,
21,832.96000000,false,,,
22,914.33000000,false,,,
23,939.85000000,false,,,
24,967.58000000,false,,,
25,1017.02000000,false,,,
26,1055.70000000,false,,,
27,1118.28000000,false,,,
28,1144.51000000,false,,,
29,1170.98000000,false,,,
30,1222.89000000,false,,,
