Source output: calculations\B12\bilayer_3d\d_3.0\mult_5\output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,262.82000000,false,,,
2,326.06000000,false,,,
3,371.22000000,false,,,
4,383.46000000,false,,,
5,401.70000000,false,,,
6,454.57000000,false,,,
7,455.86000000,false,,,
8,459.51000000,false,,,
9,484.84000000,false,,,
10,521.87000000,false,,,
11,536.87000000,false,,,
12,567.16000000,false,,,
13,597.26000000,false,,,
14,613.44000000,false,,,
15,644.02000000,false,,,
16,647.46000000,false,,,
17,660.97000000,false,,,
18,662.08000000,false,,,
19,694.06000000,false,,,
20,714.53000000,false,,,
21,832.88000000,false,,,
22,913.75000000,false,,,
23,939.46000000,false,,,
24,967.16000000,false,,,
25,1016.88000000,false,,,
26,1055.21000000,false,,,
27,1117.45000000,false,,,
28,1144.35000000,false,,,
29,1170.90000000,false,,,
30,1222.64000000,false,,,
