Source output: calculations/B12/bilayer_3d/d_2.0/mult_5/output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,263.40000000,false,,,
2,326.15000000,false,,,
3,371.81000000,false,,,
4,383.18000000,false,,,
5,401.77000000,false,,,
6,454.70000000,false,,,
7,455.83000000,false,,,
8,460.86000000,false,,,
9,485.85000000,false,,,
10,522.20000000,false,,,
11,537.20000000,false,,,
12,567.68000000,false,,,
13,596.94000000,false,,,
14,613.31000000,false,,,
15,644.18000000,false,,,
16,647.63000000,false,,,
17,661.23000000,false,,,
18,662.34000000,false,,,
19,694.44000000,false,,,
20,714.67000000,false,,,
21,832.84000000,false,,,
22,913.62000000,false,,,
23,938.35000000,false,,,
24,966.92000000,false,,,
25,1016.89000000,false,,,
26,1055.23000000,false,,,
27,1117.50000000,false,,,
28,1143.52000000,false,,,
29,1169.90000000,false,,,
30,1221.80000000,false,,,
