Source output: calculations/B12/bilayer_3d/d_2.5/mult_3/output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,81.63000000,false,,,
2,87.40000000,false,,,
3,122.74000000,false,,,
4,200.10000000,false,,,
5,238.40000000,false,,,
6,280.29000000,false,,,
7,438.12000000,false,,,
8,479.18000000,false,,,
9,509.67000000,false,,,
10,542.72000000,false,,,
11,546.37000000,false,,,
12,559.12000000,false,,,
13,625.57000000,false,,,
14,646.69000000,false,,,
15,675.00000000,false,,,
16,683.76000000,false,,,
17,718.47000000,false,,,
18,725.50000000,false,,,
19,758.86000000,false,,,
20,844.26000000,false,,,
21,883.49000000,false,,,
22,966.79000000,false,,,
23,981.91000000,false,,,
24,1046.18000000,false,,,
25,1104.00000000,false,,,
26,1140.23000000,false,,,
27,1154.60000000,false,,,
28,1180.84000000,false,,,
29,1181.93000000,false,,,
30,1241.42000000,false,,,
