Source output: calculations\B12\bilayer_3d\d_2.0\mult_1\output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,254.80000000,false,,,
2,255.52000000,false,,,
3,334.98000000,false,,,
4,335.03000000,false,,,
5,384.68000000,false,,,
6,385.25000000,false,,,
7,536.58000000,false,,,
8,536.90000000,false,,,
9,645.57000000,false,,,
10,646.56000000,false,,,
11,671.25000000,false,,,
12,725.87000000,false,,,
13,726.13000000,false,,,
14,730.83000000,false,,,
15,731.63000000,false,,,
16,746.62000000,false,,,
17,750.74000000,false,,,
18,773.35000000,false,,,
19,773.73000000,false,,,
20,937.78000000,false,,,
21,956.31000000,false,,,
22,956.55000000,false,,,
23,971.10000000,false,,,
24,971.33000000,false,,,
25,1120.04000000,false,,,
26,1120.82000000,false,,,
27,1180.41000000,false,,,
28,1180.63000000,false,,,
29,1184.07000000,false,,,
30,1184.29000000,false,,,
