Source output: calculations/B12/bilayer_3d/d_3.0/mult_3/output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,83.70000000,false,,,
2,91.10000000,false,,,
3,125.55000000,false,,,
4,200.79000000,false,,,
5,238.28000000,false,,,
6,280.34000000,false,,,
7,438.50000000,false,,,
8,479.14000000,false,,,
9,509.68000000,false,,,
10,542.75000000,false,,,
11,546.04000000,false,,,
12,560.17000000,false,,,
13,625.84000000,false,,,
14,647.35000000,false,,,
15,674.92000000,false,,,
16,684.52000000,false,,,
17,718.40000000,false,,,
18,725.97000000,false,,,
19,758.70000000,false,,,
20,844.34000000,false,,,
21,883.58000000,false,,,
22,966.37000000,false,,,
23,981.80000000,false,,,
24,1046.22000000,false,,,
25,1104.31000000,false,,,
26,1140.25000000,false,,,
27,1154.58000000,false,,,
28,1181.35000000,false,,,
29,1182.03000000,false,,,
30,1241.92000000,false,,,
