Source output: calculations/B12/bilayer_3d/d_3.5/mult_3/output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,73.39000000,false,,,
2,116.53000000,false,,,
3,177.27000000,false,,,
4,184.15000000,false,,,
5,222.76000000,false,,,
6,262.33000000,false,,,
7,347.09000000,false,,,
8,404.02000000,false,,,
9,417.79000000,false,,,
10,432.90000000,false,,,
11,457.17000000,false,,,
12,468.27000000,false,,,
13,497.79000000,false,,,
14,579.95000000,false,,,
15,633.37000000,false,,,
16,639.66000000,false,,,
17,703.93000000,false,,,
18,717.42000000,false,,,
19,773.68000000,false,,,
20,823.24000000,false,,,
21,850.55000000,false,,,
22,935.16000000,false,,,
23,977.64000000,false,,,
24,1083.57000000,false,,,
25,1178.57000000,false,,,
26,1214.09000000,false,,,
27,1282.55000000,false,,,
28,1299.23000000,false,,,
29,1367.58000000,false,,,
30,1434.85000000,false,,,
